date,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice,Country,market_dest
2023-06-15,Geidam,12.89027786,11.92116642,cereals and tubers,Rice (imported),100 KG,actual,Retail,NGN,1232.0,190.325235,Nigeria,Damassack (CBM)
2023-06-15,Yunusari,13.14983368,11.54023552,cereals and tubers,Rice (local),100 KG,actual,Retail,NGN,1001.0,154.638807,Nigeria,Damassack (CBM)
2023-06-15,Bursari,12.49669266,11.49950314,cereals and tubers,Rice (imported),100 KG,actual,Retail,NGN,1288.0,198.975408,Nigeria,Damassack (CBM)
2023-06-15,Baga Road,11.86795044,13.1233139,cereals and tubers,Rice (local),100 KG,actual,Retail,NGN,1127.0,174.103482,Nigeria,Damassack (CBM)
2023-06-15,Bullunkutu,11.82981205,13.09264565,cereals and tubers,Rice (local),100 KG,actual,Retail,NGN,1183.0,182.753655,Nigeria,Damassack (CBM)
2023-01-15,Gujungu,12.36229992,9.583600044,cereals and tubers,Rice (local),100 KG,aggregate,Retail,NGN,569.62,123.64,Nigeria,Mai Gatari (CBM)
2023-06-15,Nguru,12.87296486,10.44559479,cereals and tubers,Rice (local),100 KG,actual,Retail,NGN,980.0,151.39588500000002,Nigeria,Mai Gatari (CBM)
2023-01-15,Dawanau,12.09012032,8.429120064,cereals and tubers,Rice (imported),100 KG,aggregate,Retail,NGN,606.9,131.73,Nigeria,Mai Gatari (CBM)
2017-03-15,Mai Adoua (CBM),13.18,8.23,cereals and tubers,Rice (imported),100 KG,actual,Wholesale,NGN,236.0,75.16000000000001,Nigeria,Mai Gatari (CBM)
2023-06-15,Jakusko,12.20185947,10.8782444,cereals and tubers,Rice (local),100 KG,actual,Retail,NGN,1001.0,154.638807,Nigeria,Mai Gatari (CBM)
2023-01-15,Gwandu,12.49382019,4.642270088,cereals and tubers,Rice (imported),100 KG,aggregate,Wholesale,NGN,33700.0,146.291,Nigeria,Illela (CBM)
2023-01-15,Kaura Namoda,12.59519005,6.586349964,cereals and tubers,Rice (local),100 KG,aggregate,Retail,NGN,513.98,111.56,Nigeria,Illela (CBM)
2017-03-15,Jibia (CBM),13.08,7.24,cereals and tubers,Rice (imported),100 KG,actual,Wholesale,NGN,350.0,111.46,Nigeria,Illela (CBM)
2023-01-15,Dandume,11.41666985,7.199999809,cereals and tubers,Rice (local),100 KG,aggregate,Wholesale,NGN,56000.0,121.5473,Nigeria,Illela (CBM)
2017-03-15,Mai Adoua (CBM),13.18,8.23,cereals and tubers,Rice (imported),100 KG,actual,Wholesale,NGN,236.0,75.16000000000001,Nigeria,Illela (CBM)
2017-03-15,Jibia (CBM),13.08,7.24,cereals and tubers,Rice (imported),100 KG,actual,Wholesale,NGN,350.0,111.46,Nigeria,Mai Adoua (CBM)
2023-01-15,Dawanau,12.09012032,8.429120064,cereals and tubers,Rice (imported),100 KG,aggregate,Retail,NGN,606.9,131.73,Nigeria,Mai Adoua (CBM)
2017-01-15,Mai Gatari (CBM),12.78,9.44,cereals and tubers,Rice (imported),100 KG,actual,Wholesale,NGN,188.0,61.61,Nigeria,Mai Adoua (CBM)
2023-01-15,Gujungu,12.36229992,9.583600044,cereals and tubers,Rice (local),100 KG,aggregate,Retail,NGN,569.62,123.64,Nigeria,Mai Adoua (CBM)
2023-01-15,Kaura Namoda,12.59519005,6.586349964,cereals and tubers,Rice (local),100 KG,aggregate,Retail,NGN,513.98,111.56,Nigeria,Mai Adoua (CBM)
2023-01-15,Kaura Namoda,12.59519005,6.586349964,cereals and tubers,Rice (local),100 KG,aggregate,Retail,NGN,513.98,111.56,Nigeria,Jibia (CBM)
2017-03-15,Mai Adoua (CBM),13.18,8.23,cereals and tubers,Rice (imported),100 KG,actual,Wholesale,NGN,236.0,75.16000000000001,Nigeria,Jibia (CBM)
2023-01-15,Dawanau,12.09012032,8.429120064,cereals and tubers,Rice (imported),100 KG,aggregate,Retail,NGN,606.9,131.73,Nigeria,Jibia (CBM)
2023-01-15,Dandume,11.41666985,7.199999809,cereals and tubers,Rice (local),100 KG,aggregate,Wholesale,NGN,56000.0,121.5473,Nigeria,Jibia (CBM)
2023-01-15,Giwa,11.28015995,7.417860031,cereals and tubers,Rice (local),100 KG,aggregate,Retail,NGN,571.4,124.02,Nigeria,Jibia (CBM)
2023-06-15,Abba Gamaram,11.85818195,13.15489197,cereals and tubers,Rice (local),100 KG,actual,Retail,NGN,1120.0,173.024889,Nigeria,Bolori Stores
2023-06-15,Monday,11.83455086,13.15241718,cereals and tubers,Rice (imported),100 KG,actual,Retail,NGN,1792.0,276.834108,Nigeria,Bolori Stores
2023-06-15,Budum,11.84973431,13.16344166,cereals and tubers,Rice (imported),100 KG,actual,Retail,NGN,1792.0,276.834108,Nigeria,Bolori Stores
2023-01-15,Maiduguri,11.83110046,13.15097046,cereals and tubers,Rice (imported),100 KG,aggregate,Retail,NGN,1034.48,224.53,Nigeria,Bolori Stores
2023-06-15,Baga Road,11.86795044,13.1233139,cereals and tubers,Rice (local),100 KG,actual,Retail,NGN,1127.0,174.103482,Nigeria,Bolori Stores
2023-06-15,Custom,11.85070992,13.17124176,cereals and tubers,Rice (imported),100 KG,actual,Retail,NGN,1974.0,304.948956,Nigeria,Kusawam Shanu
2023-06-15,Budum,11.84973431,13.16344166,cereals and tubers,Rice (imported),100 KG,actual,Retail,NGN,1792.0,276.834108,Nigeria,Kusawam Shanu
2023-06-15,Abba Gamaram,11.85818195,13.15489197,cereals and tubers,Rice (local),100 KG,actual,Retail,NGN,1120.0,173.024889,Nigeria,Kusawam Shanu
2023-06-15,Monday,11.83455086,13.15241718,cereals and tubers,Rice (imported),100 KG,actual,Retail,NGN,1792.0,276.834108,Nigeria,Kusawam Shanu
2017-08-15,Bolori Stores,11.85260253,13.14149168,cereals and tubers,Rice (imported),100 KG,actual,Retail,NGN,600.0,117.416634,Nigeria,Kusawam Shanu
2023-01-15,Damaturu,11.74444008,11.96111012,cereals and tubers,Rice (local),100 KG,aggregate,Retail,NGN,477.82,103.71,Nigeria,Damaturu (Sunday Market)
2023-06-15,Gujba (Buni Yadi),11.28520203,11.99950123,cereals and tubers,Rice (local),100 KG,actual,Retail,NGN,997.0,154.017366,Nigeria,Damaturu (Sunday Market)
2023-06-15,Potiskum,11.7072401,11.08248997,cereals and tubers,Rice (imported),100 KG,actual,Retail,NGN,1218.0,188.160906,Nigeria,Damaturu (Sunday Market)
2023-06-15,Bursari,12.49669266,11.49950314,cereals and tubers,Rice (imported),100 KG,actual,Retail,NGN,1288.0,198.975408,Nigeria,Damaturu (Sunday Market)
2023-06-15,Gulani (Tettaba),10.8139019,11.72819233,cereals and tubers,Rice (local),100 KG,actual,Retail,NGN,1064.0,164.36757300000002,Nigeria,Damaturu (Sunday Market)
